"region","s1aq1","s1aq4y","urbrur","s1aq5","s2aq3","s2aq11a29","s4aq2","s4aq40a1","s4aq43m","s4aq49","s4aq55a","s4gq13c","hhid","s3aq23hhid","education_rank","urban_binary","abv_avg_wage"
"CENTRAL","Male",16,"Rural","Never married","SSS/SHS",300,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",307919,1,6,0,"High"
"NORTH EAST","Male",10,"Urban",NA,"Primary",100,NA,NA,NA,NA,704.84499041006,NA,452205,NA,3,1,"Low"
"WESTERN NORTH","Female",16,"Rural","Never married","JSS/JHS",0,NA,NA,NA,NA,618.119080643605,NA,332309,1,4,0,"Low"
"UPPER WEST","Female",17,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,758515,2,4,0,"Low"
"WESTERN","Male",22,"Urban","Never married","SSS/SHS",NA,5,"Plant and machine operators, and assemblers",3,NA,561.896551724138,NA,300713,NA,6,1,"Low"
"NORTHERN","Female",14,"Rural","Never married","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,747215,NA,3,0,"Low"
"SAVANNAH","Male",10,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,551021,10,0,0,"High"
"WESTERN","Female",52,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",3,NA,889,NA,203505,2,0,0,"High"
"UPPER WEST","Female",27,"Rural","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",659508,NA,3,0,"High"
"BONO EAST","Female",7,"Urban",NA,"Primary",400,NA,NA,NA,NA,704.84499041006,NA,539413,10,3,1,"Low"
"VOLTA","Male",35,"Rural","Informal/living together","SSS/SHS",NA,5,"Elementary occupations",2,"No",100,"No",418312,1,6,0,"Low"
"UPPER EAST","Female",8,"Urban",NA,"Primary",500,NA,NA,NA,NA,704.84499041006,NA,754812,1,3,1,"Low"
"CENTRAL","Female",1,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,206306,1,NA,1,"Low"
"VOLTA","Male",46,"Urban","Never married","No Formal Education",NA,NA,"Elementary occupations",0,"No",500,NA,314617,NA,0,1,"Low"
"VOLTA","Female",4,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,717709,1,0,0,"High"
"NORTHERN","Female",22,"Urban","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,346507,1,6,1,"High"
"GREATER ACCRA","Female",13,"Urban","Never married","JSS/JHS",1500,NA,NA,NA,NA,618.119080643605,NA,612222,1,4,1,"Low"
"BONO EAST","Female",10,"Urban",NA,"Primary",280,NA,NA,NA,NA,704.84499041006,NA,239116,NA,3,1,"Low"
"UPPER EAST","Male",17,"Rural","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",656401,1,3,0,"High"
"SAVANNAH","Female",57,"Urban","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,548814,10,0,1,"High"
"NORTH EAST","Male",4,"Rural",NA,"Kindergarten",60,NA,NA,NA,NA,729.655004205214,NA,353019,NA,2,0,"High"
"NORTHERN","Male",48,"Urban","Married (Islamic)","SSS/SHS",NA,4,"Elementary occupations",4,"Yes",1000,"Don't Know",645704,NA,6,1,"High"
"BONO EAST","Female",8,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,741509,1,0,0,"High"
"NORTH EAST","Female",13,"Urban","Never married","JSS/JHS",80,NA,NA,NA,NA,618.119080643605,NA,551122,10,4,1,"Low"
"ASHANTI","Male",20,"Rural","Never married","SSS/SHS",NA,NA,"Service and sales workers",3,NA,660.672413793103,NA,529016,10,6,0,"Low"
"AHAFO","Male",13,"Rural","Never married","Primary",500,NA,NA,NA,NA,704.84499041006,NA,634514,1,3,0,"Low"
"ASHANTI","Male",16,"Rural","Never married","Kindergarten",NA,NA,NA,NA,NA,729.655004205214,NA,530009,10,2,0,"High"
"BONO","Female",6,"Urban",NA,"Kindergarten",120,NA,"Service and sales workers",NA,NA,660.672413793103,NA,335902,NA,2,1,"Low"
"CENTRAL","Female",62,"Urban","Widowed","Middle",NA,NA,"Service and sales workers",3,NA,660.672413793103,NA,505510,10,5,1,"Low"
"AHAFO","Female",3,"Urban",NA,"Nursery",100,NA,NA,NA,NA,681.833333333333,NA,333503,1,1,1,"Low"
"VOLTA","Female",6,"Rural",NA,"Primary",250,NA,NA,NA,NA,704.84499041006,NA,417420,1,3,0,"Low"
"ASHANTI","Male",21,"Rural","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",1,NA,889,"No",728413,1,6,0,"High"
"UPPER WEST","Female",67,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,559406,80,0,0,"High"
"BONO EAST","Male",11,"Urban",NA,"JSS/JHS",100,NA,NA,NA,NA,618.119080643605,NA,139321,1,4,1,"Low"
"GREATER ACCRA","Male",14,"Urban","Never married","SSS/SHS",1200,NA,NA,NA,NA,673.530203086443,NA,409711,1,6,1,"Low"
"GREATER ACCRA","Male",8,"Rural",NA,"Primary",900,NA,NA,NA,NA,704.84499041006,NA,113405,1,3,0,"Low"
"NORTH EAST","Female",9,"Rural",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,153404,1,3,0,"Low"
"EASTERN","Male",30,"Rural","Never married","SSS/SHS",150,NA,NA,NA,NA,673.530203086443,NA,221509,1,6,0,"Low"
"OTI","Female",14,"Rural","Never married","Primary",20,NA,"Service and sales workers",0,NA,660.672413793103,NA,644001,1,3,0,"Low"
"ASHANTI","Male",6,"Rural",NA,"Kindergarten",50,NA,"Skilled agricultural, forestry and fishery workers",7,NA,889,NA,328007,1,2,0,"High"
"UPPER EAST","Male",52,"Rural","Married (Islamic)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,456103,1,3,0,"High"
"WESTERN","Male",33,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",100312,1,0,1,"Low"
"NORTHERN","Female",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,747906,NA,NA,0,"Low"
"ASHANTI","Female",7,"Urban",NA,"Primary",300,NA,NA,NA,NA,704.84499041006,NA,124001,1,3,1,"Low"
"ASHANTI","Male",60,"Urban","Married (Islamic)","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,523605,10,5,1,"High"
"UPPER EAST","Male",37,"Urban","Married (Customary/Traditional)","SSS/SHS",NA,3,"Service and sales workers",5,"Yes",2500,"No",654212,1,6,1,"High"
"WESTERN","Female",43,"Rural","Separated","No Formal Education",NA,5,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",603101,1,0,0,"High"
"NORTH EAST","Male",74,"Urban","Widowed","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,251213,NA,0,1,"High"
"ASHANTI","Male",61,"Rural","Married (Customary/Traditional)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",727715,1,5,0,"High"
"AHAFO","Male",52,"Rural","Married (Civil/Ordinance)","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,535614,10,5,0,"High"
"NORTHERN","Female",36,"Rural","Married (Islamic)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,247701,NA,0,0,"High"
"SAVANNAH","Female",10,"Rural",NA,"No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,550513,10,0,0,"High"
"AHAFO","Female",34,"Urban","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,533804,10,0,1,"High"
"ASHANTI","Male",10,"Urban",NA,"Primary",320,NA,NA,NA,NA,704.84499041006,NA,123510,1,3,1,"Low"
"UPPER EAST","Female",28,"Urban","Married (Civil/Ordinance)","Tertiary - Post graduate certificate / diploma",NA,NA,"Professionals",5,"Yes",2100,"Yes",755101,1,13,1,"High"
"CENTRAL","Male",14,"Urban","Never married","JSS/JHS",800,NA,NA,NA,NA,618.119080643605,NA,205509,NA,4,1,"Low"
"BONO","Male",3,"Rural",NA,"No Formal Education",0,NA,NA,NA,NA,821.77145438121,NA,438415,1,0,0,"High"
"GREATER ACCRA","Female",53,"Rural","Informal/living together","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,514416,10,3,0,"High"
"BONO","Female",14,"Rural","Never married","Primary",120,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,738406,NA,3,0,"High"
"WESTERN NORTH","Male",77,"Rural","Married (Customary/Traditional)","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,432408,2,3,0,"Low"
"EASTERN","Female",5,"Urban",NA,"Nursery",0,NA,NA,NA,NA,681.833333333333,NA,519207,80,1,1,"Low"
"WESTERN NORTH","Male",24,"Urban","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,330907,1,6,1,"Low"
"NORTH EAST","Male",18,"Urban","Never married","JSS/JHS",NA,NA,"Craft and related trades workers",5,NA,267.5,"No",651301,1,4,1,"Low"
"OTI","Female",72,"Rural","Widowed","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",644715,1,0,0,"High"
"BONO","Male",31,"Urban","Never married","SSS/SHS",NA,6,"Elementary occupations",6,"No",500,"Yes",636404,2,6,1,"Low"
"BONO EAST","Female",10,"Urban",NA,"Primary",500,NA,NA,NA,NA,704.84499041006,NA,339204,1,3,1,"Low"
"EASTERN","Female",10,"Rural",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,521316,10,3,0,"Low"
"ASHANTI","Male",57,"Rural","Separated","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",327705,1,3,0,"High"
"NORTHERN","Male",7,"Rural",NA,"Kindergarten",0,NA,NA,NA,NA,729.655004205214,NA,546708,10,2,0,"High"
"ASHANTI","Male",91,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,223506,1,0,1,"High"
"ASHANTI","Male",45,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,129613,1,0,0,"High"
"UPPER EAST","Male",15,"Rural","Never married","JSS/JHS",55,NA,NA,NA,NA,618.119080643605,NA,656605,1,4,0,"Low"
"BONO","Male",24,"Urban","Never married","JSS/JHS",NA,7,"Service and sales workers",0,"No",300,NA,436010,1,4,1,"Low"
"CENTRAL","Female",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,308512,1,NA,0,"Low"
"OTI","Male",51,"Rural","Married (Customary/Traditional)","No Formal Education",NA,6,"Skilled agricultural, forestry and fishery workers",6,NA,889,NA,444703,1,0,0,"High"
"BONO","Female",9,"Urban",NA,"Primary",330,NA,NA,NA,NA,704.84499041006,NA,637009,1,3,1,"Low"
"WESTERN","Male",5,"Rural",NA,"Kindergarten",200,NA,NA,NA,NA,729.655004205214,NA,703113,1,2,0,"High"
"CENTRAL","Female",35,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,306911,1,0,0,"High"
"OTI","Female",42,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,442309,1,0,1,"High"
"BONO","Male",37,"Rural","Never married","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",638918,1,3,0,"High"
"ASHANTI","Male",36,"Urban","Informal/living together","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,527010,10,6,1,"High"
"UPPER EAST","Female",23,"Urban","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,554506,10,6,1,"Low"
"UPPER WEST","Female",46,"Urban","Never married","SSS/SHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,457814,1,6,1,"Low"
"EASTERN","Male",34,"Urban","Informal/living together","Tertiary - Bachelor's Degree",NA,5,"Professionals",0,"Yes",2500,"Yes",518603,10,12,1,"High"
"BONO EAST","Male",26,"Rural","Informal/living together","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",2,NA,889,NA,440815,1,4,0,"High"
"EASTERN","Male",28,"Rural","Never married","SSS/SHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,120917,1,6,0,"High"
"OTI","Male",36,"Urban","Married (Customary/Traditional)","Primary",NA,6,"Elementary occupations",0,"No",800,NA,442606,1,3,1,"High"
"UPPER EAST","Female",16,"Rural","Never married","JSS/JHS",50,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,356412,1,4,0,"High"
"WESTERN","Female",23,"Urban","Never married","SSS/SHS",5400,5,"Service and sales workers",0,NA,660.672413793103,"Don't Know",600716,1,6,1,"Low"
"WESTERN NORTH","Male",8,"Rural",NA,"Primary",350,NA,NA,NA,NA,704.84499041006,NA,232511,1,3,0,"Low"
"EASTERN","Female",18,"Urban","Never married","SSS/SHS",160,NA,NA,NA,NA,673.530203086443,NA,718712,1,6,1,"Low"
"UPPER EAST","Male",47,"Urban","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,254905,3,0,1,"High"
"BONO EAST","Male",54,"Urban","Married (Customary/Traditional)","Middle",NA,NA,"Craft and related trades workers",0,NA,267.5,NA,439415,1,5,1,"Low"
"WESTERN","Female",55,"Urban","Married (Customary/Traditional)","Primary",NA,NA,NA,NA,NA,704.84499041006,NA,201018,2,3,1,"Low"
"EASTERN","Male",15,"Rural","Never married","JSS/JHS",50,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,523409,10,4,0,"High"
"NORTH EAST","Female",20,"Rural","Never married","SSS/SHS",2000,NA,"Craft and related trades workers",0,NA,267.5,"Don't Know",652802,1,6,0,"Low"
"EASTERN","Female",14,"Urban","Never married","Primary",150,NA,NA,NA,NA,704.84499041006,NA,619110,1,3,1,"Low"
"OTI","Male",53,"Urban","Married (Islamic)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,442418,1,3,1,"High"
"GREATER ACCRA","Male",7,"Urban",NA,"Primary",7000,NA,NA,NA,NA,704.84499041006,NA,309506,1,3,1,"Low"
"WESTERN NORTH","Male",18,"Rural","Never married","SSS/SHS",600,NA,NA,NA,NA,673.530203086443,NA,632203,1,6,0,"Low"
"BONO","Male",15,"Urban","Never married","JSS/JHS",450,NA,NA,NA,NA,618.119080643605,NA,336504,2,4,1,"Low"
"ASHANTI","Female",17,"Urban","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,527211,10,6,1,"Low"
"NORTH EAST","Male",4,"Rural",NA,"No Formal Education",500,NA,NA,NA,NA,821.77145438121,NA,152504,1,0,0,"High"
"NORTHERN","Female",1,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,347007,1,NA,0,"Low"
"ASHANTI","Male",15,"Urban","Never married","JSS/JHS",300,NA,NA,NA,NA,618.119080643605,NA,326123,1,4,1,"Low"
"UPPER EAST","Female",8,"Rural",NA,"Primary",95,NA,NA,NA,NA,704.84499041006,NA,555817,10,3,0,"Low"
"ASHANTI","Male",5,"Rural",NA,"Nursery",150,NA,NA,NA,NA,681.833333333333,NA,727916,1,1,0,"Low"
"SAVANNAH","Female",32,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",649818,1,4,0,"High"
"WESTERN","Male",36,"Urban","Never married","SSS/SHS",NA,4,"Skilled agricultural, forestry and fishery workers",NA,NA,889,NA,300901,3,6,1,"High"
"EASTERN","Male",18,"Rural","Never married","SSS/SHS",260,NA,NA,NA,NA,673.530203086443,NA,720901,1,6,0,"Low"
"EASTERN","Male",2,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,623310,2,NA,0,"Low"
"BONO","Female",27,"Urban","Never married","Tertiary - Bachelor's Degree",NA,NA,NA,NA,NA,1823.08021656255,NA,536207,10,12,1,"High"
"UPPER WEST","Female",3,"Rural",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,759419,1,0,0,"High"
"WESTERN NORTH","Female",18,"Urban","Never married","SSS/SHS",110,NA,NA,NA,NA,673.530203086443,NA,731006,1,6,1,"Low"
"UPPER WEST","Female",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,159118,2,NA,0,"Low"
"NORTH EAST","Female",11,"Rural",NA,"Primary",40,NA,NA,NA,NA,704.84499041006,NA,553617,10,3,0,"Low"
"OTI","Male",16,"Rural","Never married","JSS/JHS",375,NA,NA,NA,NA,618.119080643605,NA,444918,1,4,0,"Low"
"GREATER ACCRA","Female",52,"Urban","Separated","Middle",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,511004,10,5,1,"Low"
"ASHANTI","Female",23,"Urban","Never married","SSS/SHS",NA,NA,NA,NA,NA,673.530203086443,NA,326510,NA,6,1,"Low"
"OTI","Female",29,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,"No",344307,NA,0,0,"High"
"ASHANTI","Male",16,"Urban","Never married","JSS/JHS",400,NA,NA,NA,NA,618.119080643605,NA,626905,1,4,1,"Low"
"ASHANTI","Male",30,"Urban","Never married","JSS/JHS",NA,5,"Craft and related trades workers",2,"No",500,"No",526908,10,4,1,"Low"
"CENTRAL","Female",30,"Urban","Never married","SSS/SHS",NA,NA,"Service and sales workers",6,NA,660.672413793103,NA,506719,10,6,1,"Low"
"GREATER ACCRA","Male",40,"Rural","Married (Islamic)","Primary",NA,6,"Plant and machine operators, and assemblers",3,NA,561.896551724138,"No",213220,1,3,0,"Low"
"NORTHERN","Male",16,"Rural","Never married","JSS/JHS",200,NA,NA,NA,NA,618.119080643605,NA,147401,1,4,0,"Low"
"ASHANTI","Female",15,"Rural","Never married","JSS/JHS",250,NA,NA,NA,NA,618.119080643605,NA,229212,1,4,0,"Low"
"CENTRAL","Female",35,"Urban","Separated","No Formal Education",NA,NA,"Service and sales workers",4,NA,660.672413793103,"No",204308,1,0,1,"Low"
"WESTERN NORTH","Female",12,"Urban","Never married","JSS/JHS",270,NA,NA,NA,NA,618.119080643605,NA,130418,1,4,1,"Low"
"NORTHERN","Male",6,"Rural",NA,"Primary",500,NA,NA,NA,NA,704.84499041006,NA,746901,1,3,0,"Low"
"GREATER ACCRA","Male",51,"Urban","Married (Customary/Traditional)","Tertiary - Bachelor's Degree",NA,5,"Professionals",0,"No",1600,"Yes",311601,1,12,1,"High"
"ASHANTI","Female",8,"Urban",NA,"Primary",600,NA,NA,NA,NA,704.84499041006,NA,225306,1,3,1,"Low"
"CENTRAL","Female",40,"Urban","Divorced","JSS/JHS",NA,NA,"Elementary occupations",2,"No",300,"Don't Know",606320,1,4,1,"Low"
"BONO EAST","Male",20,"Urban","Never married","SSS/SHS",0,NA,"Skilled agricultural, forestry and fishery workers",5,NA,889,NA,140112,NA,6,1,"High"
"ASHANTI","Male",30,"Rural","Married (Customary/Traditional)","SSS/SHS",NA,NA,"Craft and related trades workers",3,NA,267.5,"No",128911,1,6,0,"Low"
"WESTERN","Female",26,"Urban","Never married","JSS/JHS",NA,NA,"Service and sales workers",1,NA,660.672413793103,NA,201513,1,4,1,"Low"
"WESTERN","Male",8,"Urban",NA,"Primary",0,NA,NA,NA,NA,704.84499041006,NA,200311,1,3,1,"Low"
"WESTERN NORTH","Male",10,"Rural",NA,"Primary",60,NA,NA,NA,NA,704.84499041006,NA,532505,10,3,0,"Low"
"VOLTA","Female",33,"Rural","Informal/living together","JSS/JHS",NA,NA,"Service and sales workers",7,NA,660.672413793103,"No",717715,1,4,0,"Low"
"AHAFO","Female",18,"Rural","Never married","Primary",NA,NA,"Service and sales workers",3,NA,660.672413793103,"No",634509,NA,3,0,"Low"
"NORTH EAST","Female",8,"Rural",NA,"Primary",20,NA,NA,NA,NA,704.84499041006,NA,253011,1,3,0,"Low"
"BONO EAST","Male",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,641513,1,NA,0,"Low"
"BONO EAST","Female",6,"Rural",NA,"Kindergarten",20,NA,NA,NA,NA,729.655004205214,NA,441610,1,2,0,"High"
"NORTHERN","Female",44,"Rural","Married (Islamic)","No Formal Education",NA,NA,NA,2,NA,821.77145438121,"No",147517,2,0,0,"High"
"NORTHERN","Male",0,"Rural",NA,NA,NA,NA,NA,NA,NA,550,NA,347812,1,NA,0,"Low"
"EASTERN","Male",7,"Urban",NA,"Primary",120,NA,NA,NA,NA,704.84499041006,NA,120718,1,3,1,"Low"
"NORTH EAST","Male",7,"Rural",NA,"Primary",300,NA,NA,NA,NA,704.84499041006,NA,653606,1,3,0,"Low"
"SAVANNAH","Male",3,"Urban",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,548505,10,0,1,"High"
"UPPER WEST","Female",44,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,359512,1,0,0,"Low"
"NORTHERN","Female",7,"Rural",NA,"Kindergarten",100,NA,NA,NA,NA,729.655004205214,NA,647212,NA,2,0,"High"
"OTI","Male",6,"Urban",NA,"No Formal Education",180,NA,NA,NA,NA,821.77145438121,NA,142813,1,0,1,"High"
"GREATER ACCRA","Female",27,"Urban","Married (Islamic)","No Formal Education",NA,6,"Service and sales workers",4,NA,660.672413793103,"Yes",310711,1,0,1,"Low"
"OTI","Female",9,"Rural",NA,"Primary",170,NA,NA,NA,NA,704.84499041006,NA,643609,1,3,0,"Low"
"UPPER EAST","Female",20,"Rural","Separated","No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,355515,NA,0,0,"High"
"BONO EAST","Male",11,"Rural",NA,"Kindergarten",200,NA,NA,NA,NA,729.655004205214,NA,742222,8,2,0,"High"
"WESTERN","Male",7,"Rural",NA,"Primary",350,NA,NA,NA,NA,704.84499041006,NA,304002,1,3,0,"Low"
"CENTRAL","Male",4,"Urban",NA,"Kindergarten",260,NA,NA,NA,NA,729.655004205214,NA,704710,1,2,1,"High"
"OTI","Male",0,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,142907,1,NA,1,"Low"
"VOLTA","Female",47,"Urban","Married (Civil/Ordinance)","Primary",NA,NA,"Service and sales workers",0,NA,660.672413793103,"No",215313,2,3,1,"Low"
"SAVANNAH","Male",10,"Urban",NA,"Primary",200,NA,NA,NA,NA,704.84499041006,NA,649103,1,3,1,"Low"
"SAVANNAH","Female",18,"Rural","Never married","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,550104,10,0,0,"High"
"GREATER ACCRA","Female",8,"Urban",NA,"Primary",3000,NA,NA,NA,NA,704.84499041006,NA,209116,1,3,1,"Low"
"NORTHERN","Female",36,"Rural","Married (Islamic)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",3,NA,889,NA,147917,1,0,0,"High"
"BONO EAST","Female",5,"Rural",NA,"Kindergarten",270,NA,NA,NA,NA,729.655004205214,NA,140909,1,2,0,"High"
"NORTH EAST","Female",3,"Rural",NA,"Kindergarten",60,NA,NA,NA,NA,729.655004205214,NA,453701,NA,2,0,"High"
"EASTERN","Female",32,"Urban","Widowed","JSS/JHS",NA,4,"Craft and related trades workers",0,"No",35,"No",119004,1,4,1,"Low"
"VOLTA","Female",49,"Rural","Widowed","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Don't Know",216711,1,4,0,"High"
"GREATER ACCRA","Female",46,"Urban","Married (Civil/Ordinance)","No Formal Education",NA,5,"Professionals",2,"No",400,"No",309201,1,0,1,"Low"
"WESTERN NORTH","Male",11,"Rural",NA,"Primary",300,NA,NA,NA,NA,704.84499041006,NA,631313,1,3,0,"Low"
"UPPER EAST","Male",47,"Urban","Married (Islamic)","JSS/JHS",NA,NA,"Craft and related trades workers",0,NA,267.5,"No",153907,1,4,1,"Low"
"VOLTA","Female",12,"Rural","Never married","Primary",0,NA,NA,NA,NA,704.84499041006,NA,116407,1,3,0,"Low"
"CENTRAL","Female",3,"Urban",NA,"No Formal Education",NA,NA,NA,NA,NA,821.77145438121,NA,306601,2,0,1,"High"
"VOLTA","Male",1,"Urban",NA,NA,NA,NA,NA,NA,NA,550,NA,214910,1,NA,1,"Low"
"WESTERN","Female",16,"Urban","Never married","SSS/SHS",120,NA,NA,NA,NA,673.530203086443,NA,701509,1,6,1,"Low"
"SAVANNAH","Female",4,"Rural",NA,"Kindergarten",30,NA,NA,NA,NA,729.655004205214,NA,250803,1,2,0,"High"
"UPPER EAST","Male",35,"Urban","Married (Customary/Traditional)","Primary",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"No",354602,1,3,1,"High"
"NORTH EAST","Male",17,"Urban","Never married","SSS/SHS",850,NA,NA,NA,NA,673.530203086443,NA,551903,10,6,1,"Low"
"NORTH EAST","Male",9,"Rural",NA,"Primary",536,NA,NA,NA,NA,704.84499041006,NA,552317,10,3,0,"Low"
"BONO","Male",14,"Urban","Never married","Primary",120,NA,NA,NA,NA,704.84499041006,NA,736409,1,3,1,"Low"
"EASTERN","Female",7,"Rural",NA,"Kindergarten",300,NA,NA,NA,NA,729.655004205214,NA,223212,1,2,0,"High"
"CENTRAL","Female",19,"Urban","Never married","JSS/JHS",NA,NA,"Service and sales workers",0,NA,660.672413793103,NA,404715,1,4,1,"Low"
"WESTERN","Female",54,"Urban","Married (Civil/Ordinance)","Middle",NA,NA,"Service and sales workers",8,NA,660.672413793103,"No",201515,2,5,1,"Low"
"NORTH EAST","Female",66,"Urban","Married (Islamic)","Middle",NA,NA,NA,NA,NA,777.271367946636,NA,751804,1,5,1,"High"
"GREATER ACCRA","Male",45,"Urban","Never married","Voc/Tech/Commercial",NA,5,"Managers",0,"Yes",2000,"Yes",613007,1,8,1,"High"
"OTI","Female",32,"Rural","Married (Customary/Traditional)","JSS/JHS",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,NA,444303,1,4,0,"High"
"ASHANTI","Male",19,"Urban","Never married","JSS/JHS",2000,NA,NA,NA,NA,618.119080643605,NA,325118,1,4,1,"Low"
"CENTRAL","Female",70,"Urban","Divorced","Middle",NA,NA,"Skilled agricultural, forestry and fishery workers",3,NA,889,"No",306312,1,5,1,"High"
"WESTERN","Male",16,"Urban","Never married","SSS/SHS",0,NA,NA,NA,NA,673.530203086443,NA,500810,10,6,1,"Low"
"ASHANTI","Female",27,"Rural","Married (Islamic)","JSS/JHS",NA,NA,"Service and sales workers",3,NA,660.672413793103,"No",228812,2,4,0,"Low"
"OTI","Male",43,"Rural","Married (Customary/Traditional)","No Formal Education",NA,NA,"Skilled agricultural, forestry and fishery workers",0,NA,889,"Yes",244812,1,0,0,"High"
"BONO","Female",4,"Rural",NA,"Kindergarten",0,NA,NA,NA,NA,729.655004205214,NA,138516,1,2,0,"High"
"CENTRAL","Male",43,"Urban","Married (Civil/Ordinance)","JSS/JHS",NA,NA,"Craft and related trades workers",4,NA,267.5,NA,404317,1,4,1,"Low"
"GREATER ACCRA","Female",10,"Urban",NA,"Primary",3250,NA,NA,NA,NA,704.84499041006,NA,109309,1,3,1,"Low"
"ASHANTI","Female",23,"Urban","Informal/living together","JSS/JHS",NA,NA,NA,NA,NA,618.119080643605,NA,224006,1,4,1,"Low"
"ASHANTI","Female",6,"Urban",NA,"Primary",300,NA,NA,NA,NA,704.84499041006,NA,624213,1,3,1,"Low"
